Latest: Time (min),Latest: Dissolved Oxygen (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: FlowV1 (V),Latest: FlowV2 (V),Latest: FlowV3 (V),Latest: FlowV4 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0,6.316683563,14.85292566,25.85972891,101.6256875,6.663224151,6.332281292,6.546919434,2.035522461,2.024002075,2.073440552,2.090377808,0,0,0,,,,,,10,27.04591656,,,,,204.8273352,,,,,,,413.3793657,110.8341421
0.016666667,6.317022644,14.83066574,25.85393233,101.6308438,6.663224151,6.332281292,6.548275757,2.035522461,2.024230957,2.073287964,2.090301514,0.016666667,0.001666667,0,,6.005026349,224,,,20,11.18247443,0,5.67408349,,,335.5932806,5.658824842,5.890077955,,,,,316.4509676,274.9005406
0.033333333,6.316683563,14.85107066,25.85827976,101.62225,6.663224151,6.332281292,6.548275757,2.035446167,2.023925781,2.073516846,2.09022522,0.033333333,0.003333333,0,,6.004166908,225,,,30,31.15676712,0,5.673224049,,,574.6965266,5.65762632,5.889218514,,,,,106.351329,269.0843697
0.05,6.317022644,14.83901321,25.86407634,101.6256875,6.663563232,6.338045666,6.55370105,2.035522461,2.024002075,2.073440552,2.09022522,0.05,0.005,0,,6.005102527,224,,,40,25.71254421,0,5.679584961,,,199.871129,5.658561939,5.895240345,,,,,17.79287915,231.0231687
0.066666667,6.316683563,14.83437573,25.85827976,101.6205313,6.66254599,6.338723828,6.554379211,2.035522461,2.024002075,2.073440552,2.090377808,0.066666667,0.006666667,0,,6.00422963,224,,,50,5.054052,0,5.680407468,,,336.5440817,5.658367204,5.896062852,,,,,70.1405083,266.7205737
0.083333333,6.317022644,14.83252074,25.85538147,101.6274063,6.662206909,6.332281292,6.554040131,2.035522461,2.024078369,2.073440552,2.090301514,0.083333333,0.008333333,0,,6.003942145,225,,,60,1.099024794,0,5.674016529,,,604.8039026,5.658757881,5.895775367,,,,,212.1808983,258.3718426
0.1,6.318039886,14.81860829,25.83799176,101.629125,6.656103454,6.333637616,6.554040131,2.035598755,2.024307251,2.073364258,2.090454102,0.1,0.01,0,,5.998271809,224,,,,,0,5.67580597,,,,5.660208241,5.896208485,,,,,,
0.116666667,6.317361725,14.83437573,25.85683062,101.6239688,6.657120697,6.329568646,6.552683807,2.035522461,2.024078369,2.073440552,2.09022522,0.116666667,0.011666667,0,,5.998788974,224,,,,,0,5.671236923,,,,5.659030002,5.894352085,,,,,,
0.133333333,6.322787018,14.83715822,25.84089004,101.6188125,6.657459778,6.322447949,6.5581091,2.035522461,2.023925781,2.073516846,2.090377808,0.133333333,0.013333333,0,,5.998835433,225,,,,,0,5.663823605,,,,5.664162673,5.899484756,,,,,,
0.15,6.329907715,14.78800091,25.83364433,101.6256875,6.655764374,6.322108868,6.563873474,2.035522461,2.024154663,2.073364258,2.090301514,0.15,0.015,0,,5.999245438,224,,,,,0,5.665589933,,,,5.673388779,5.907354539,,,,,,
