Latest: Time (min),Latest: Dissolved Oxygen (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3(mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: FlowV2 (V),Latest: FlowV1 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h),Latest: FlowV4 (V),Latest: FlowV3 (V)
0,8.622712646,6.775360431,23.957486,102.1430313,8.67086212,8.630511505,8.598298828,0.882797241,2.078933716,0,0,0,,,,,,10,94.56869586,,,,,44.54123594,,,,,,,22.59676203,12.39178626,2.148284912,2.065887451
0.016666667,8.623390808,6.841212668,23.95893743,102.1464688,8.666114989,8.634580474,8.598298828,0.882949829,2.07901001,0.016666667,0.001666667,0,,8.309817222,224,,,20,153.8509532,0,8.352541402,,,318.7418762,8.321006888,8.284725242,,,,,213.4694954,68.51009775,2.148208618,2.065887451
0.033333333,8.627459778,6.807822801,23.9647431,102.1344375,8.665775908,8.634241394,8.597959747,0.883255005,2.07901001,0.033333333,0.003333333,0,,8.31544917,225,,,30,176.1362045,0,8.3537653,,,354.9918311,8.322230786,8.28594914,,,,,312.5606164,98.25612887,2.148208618,2.065734863
0.05,8.623051727,6.832865201,23.96619451,102.1413125,8.665775908,8.630850586,8.597959747,0.883178711,2.079086304,0.05,0.005,0,,8.309901555,224,,,40,146.519759,0,8.352625736,,,256.6260757,8.317700413,8.284809575,,,,,224.3998366,26.42772501,2.148284912,2.065887451
0.066666667,8.621356323,6.838430179,23.95893743,102.1464688,8.665436827,8.630511505,8.597959747,0.883255005,2.079162598,0.066666667,0.006666667,0,,8.307910275,224,,,50,175.6626588,0,8.351990779,,,340.5535819,8.317065456,8.284513699,,,,,259.4508803,114.4328086,2.148284912,2.066040039
0.083333333,8.619321838,6.831937705,23.96909732,102.137875,8.6712012,8.630511505,8.598298828,0.883331299,2.079086304,0.083333333,0.008333333,0,,8.306230485,225,,,60,140.0941568,0,8.358109847,,,284.0380245,8.317420151,8.285207475,,,,,241.6068098,31.06204935,2.148208618,2.065734863
0.1,8.619660919,6.825445231,23.97200011,102.14475,8.67086212,8.633902313,8.597959747,0.883331299,2.079086304,0.1,0.01,0,,8.306883393,224,,,,,0,8.358084593,,,,8.321124786,8.285182221,,,,,,,2.148208618,2.065811157
0.116666667,8.618982758,6.857907601,23.96619451,102.1413125,8.665775908,8.633902313,8.597281586,0.883178711,2.078933716,0.116666667,0.011666667,0,,8.304684892,224,,,,,0,8.351478043,,,,8.319604448,8.282983721,,,,,,,2.148284912,2.065658569
0.133333333,8.618982758,6.933962297,23.96619451,102.1361563,8.658994292,8.641701171,8.598298828,0.883178711,2.07901001,0.133333333,0.013333333,0,,8.301199306,225,,,,,0,8.34121084,,,,8.32391772,8.280515377,,,,,,,2.148208618,2.065811157
0.15,8.619660919,6.865327571,23.96909732,102.1430313,8.64983911,8.652551757,8.597959747,0.883255005,2.07901001,0.15,0.015,0,,8.305039388,224,,,,,0,8.335217579,,,,8.337930226,8.283338216,,,,,,,2.148284912,2.065734863
0.166666667,8.618643677,6.817097764,23.96619451,102.1395938,8.644074737,8.657977049,8.597959747,0.883636475,2.079086304,0.166666667,0.016666667,0,,8.306216126,224,,,,,0,8.331647186,,,,8.345549499,8.285532197,,,,,,,2.148208618,2.065811157
0.183333333,8.618982758,6.871820045,23.9647431,102.137875,8.643057494,8.666114989,8.597959747,0.883636475,2.079086304,0.183333333,0.018333333,0,,8.30403908,225,,,,,0,8.328113817,,,,8.351171311,8.28301607,,,,,,,2.148284912,2.065811157
0.2,8.625086212,7.390290474,23.96909732,102.1430313,8.643396575,8.677643736,8.597959747,0.884017944,2.079086304,0.2,0.02,0,,8.286406888,224,,,,,0,8.304717251,,,,8.338964411,8.259280423,,,,,,,2.148208618,2.065811157
0.216666667,8.628137939,6.823590238,23.97490289,102.1481875,8.649500029,8.676965574,8.597959747,0.884552002,2.07901001,0.216666667,0.021666667,0,,8.315461703,224,,,,,0,8.336823793,,,,8.364289338,8.285283511,,,,,,,2.148208618,2.065963745
0.233333333,8.627120697,6.849560134,23.96184027,102.1464688,8.652212676,8.666114989,8.598298828,0.884628296,2.079086304,0.233333333,0.023333333,0,,8.313180859,225,,,,,0,8.338272838,,,,8.35217515,8.28435899,,,,,,,2.148208618,2.065887451
0.25,8.626781616,7.205718711,23.96764592,102.1413125,8.652890837,8.666114989,8.598298828,0.884780884,2.07901001,0.25,0.025,0,,8.296552172,224,,,,,0,8.322661394,,,,8.335885545,8.268069384,,,,,,,2.148208618,2.065887451
0.266666667,8.625425293,6.848632638,23.96764592,102.1413125,8.652890837,8.676965574,8.597959747,0.884475708,2.078933716,0.266666667,0.026666667,0,,8.311560675,224,,,,,0,8.33902622,,,,8.363100957,8.28409513,,,,,,,2.148284912,2.065887451
0.283333333,8.625764374,6.85048763,23.9734515,102.14475,8.652212676,8.676965574,8.597959747,0.88470459,2.07901001,0.283333333,0.028333333,0,,8.311847449,225,,,,,0,8.338295751,,,,8.363048649,8.284042822,,,,,,,2.148284912,2.066040039
0.3,8.626103454,6.863472579,23.97925703,102.1430313,8.652551757,8.676965574,8.597959747,0.884475708,2.078933716,0.3,0.03,0,,8.311624259,224,,,,,0,8.338072561,,,,8.362486379,8.283480552,,,,,,,2.148208618,2.065963745
0.316666667,8.626781616,6.841212668,23.97925703,102.14475,8.652212676,8.684086271,8.598298828,0.884475708,2.079086304,0.316666667,0.031666667,0,,8.313322353,224,,,,,0,8.338753413,,,,8.370627008,8.284839565,,,,,,,2.148284912,2.065811157
0.333333333,8.627798858,6.86811006,23.99086792,102.1481875,8.652212676,8.684086271,8.597959747,0.884628296,2.07901001,0.333333333,0.033333333,0,,8.313172683,225,,,,,0,8.337586501,,,,8.369460096,8.283333572,,,,,,,2.148208618,2.065811157
0.35,8.626442535,6.846777645,23.99812461,102.1413125,8.649160949,8.676965574,8.598298828,0.884170532,2.079086304,0.35,0.035,0,,8.312834377,224,,,,,0,8.33555279,,,,8.363357416,8.28469067,,,,,,,2.148208618,2.065734863
0.366666667,8.620678162,6.820807749,24.00247858,102.1413125,8.652212676,8.685103513,8.597620667,0.884246826,2.07901001,0.366666667,0.036666667,0,,8.30828389,224,,,,,0,8.339818404,,,,8.372709241,8.285226395,,,,,,,2.148284912,2.065887451
