Latest: Time (min),Latest: Dissolved Oxygen (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure 3 (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: FlowV3 (V),Latest: FlowV4 (V),Latest: FlowV2 (V),Latest: Potential (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0,8.993190137,4.497429533,24.13163231,911.5079437,8.557471312,8.508982758,8.416752781,2.159423828,2.106704712,2.089080811,2.246932983,0,0,0,,,,,,10,29.48514793,,,,,25.29945843,,,,,,,2.62994873,85.45510462
0.016666667,8.993529218,3.620945535,24.13163231,911.5930725,8.550350615,8.509660919,8.417091861,2.159500122,2.106704712,2.089080811,2.247314453,0.016666667,0.001666667,0,,8.828071081,224,,,20,1.972030144,0,8.384892478,,,64.62886386,8.344202782,8.251633724,,,,,15.21529732,155.3994371
0.033333333,8.993868299,3.704420201,24.12292615,911.5079437,8.550350615,8.509321838,8.416074619,2.159347534,2.106704712,2.089004517,2.247085571,0.033333333,0.003333333,0,,8.824569592,225,,,30,16.03882034,0,8.381051909,,,65.98949083,8.340023132,8.246775913,,,,,10.6677805,154.0745442
0.05,8.994207379,3.561585772,24.12727925,911.5079437,8.544247161,8.509321838,8.416752781,2.159500122,2.106552124,2.089080811,2.247238159,0.05,0.005,0,,8.83144907,224,,,40,105.5854363,0,8.381488851,,,79.71543807,8.346563529,8.253994471,,,,,78.19313316,115.701405
0.066666667,8.992851056,3.636712972,24.12727925,911.5419952,8.544925322,8.509660919,8.4164137,2.15927124,2.106781006,2.089080811,2.247085571,0.066666667,0.006666667,0,,8.826659564,224,,,50,39.80000259,0,8.37873383,,,47.74794676,8.343469427,8.250222207,,,,,3.705420092,125.0909204
0.083333333,8.993190137,3.660827875,24.13163231,911.5760468,8.544247161,8.509660919,8.417430942,2.159423828,2.106628418,2.089080811,2.247238159,0.083333333,0.008333333,0,,8.825909587,225,,,60,101.2490021,0,8.376966611,,,54.5209555,8.342380369,8.250150392,,,,,91.5811304,65.25323286
0.1,8.992851056,3.566223253,24.12582822,911.5419952,8.53983911,8.509660919,8.4164137,2.159347534,2.106704712,2.089080811,2.247085571,0.1,0.01,0,,8.829876615,224,,,,,0,8.376864669,,,,8.346686478,8.253439259,,,,,,
0.116666667,8.993529218,4.649538925,24.12873027,911.5249695,8.53983911,8.508304596,8.415735538,2.159576416,2.1068573,2.089004517,2.247314453,0.116666667,0.011666667,0,,8.781058815,224,,,,,0,8.327368707,,,,8.295834193,8.203265135,,,,,,
0.133333333,8.994207379,3.603323105,24.12727925,911.5249695,8.540178191,8.506948273,8.4164137,2.159500122,2.106704712,2.089080811,2.247238159,0.133333333,0.013333333,0,,8.829541746,225,,,,,0,8.375512558,,,,8.342282639,8.251748066,,,,,,
0.15,8.993868299,4.200630718,24.13018129,911.559021,8.540856353,8.508304596,8.416074619,2.159500122,2.106704712,2.088928223,2.247238159,0.15,0.015,0,,8.801916649,224,,,,,0,8.348904703,,,,8.316352946,8.224122969,,,,,,
0.166666667,8.992851056,3.640422957,24.11421988,911.627124,8.540517272,8.508304596,8.423534397,2.159500122,2.1068573,2.089080811,2.247314453,0.166666667,0.016666667,0,,8.826451359,224,,,,,0,8.374117575,,,,8.341904899,8.257134699,,,,,,
0.183333333,8.988103925,3.613525564,24.12582822,911.559021,8.540517272,8.508304596,8.423195316,2.159500122,2.106704712,2.088928223,2.247009277,0.183333333,0.018333333,0,,8.822967794,225,,,,,0,8.375381141,,,,8.343168465,8.258059185,,,,,,
0.2,8.987764844,3.821284734,24.12437719,911.6100983,8.53983911,8.508304596,8.422856235,2.15965271,2.1068573,2.089080811,2.247009277,0.2,0.02,0,,8.813129726,224,,,,,0,8.365203992,,,,8.333669478,8.248221117,,,,,,
