Latest: Time (min),Latest: Dissolved Oxygen (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure 3 (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: FlowV4 (V),Latest: FlowV2 (V),Latest: Potential (V),Latest: FlowV3 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),,,Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0,9.053207438,4.278540407,24.87853808,911.6611755,8.93079927,8.482534455,9.254621432,2.106552124,2.088851929,2.071304321,2.156906128,0,0,0,,,,,,10,86.38350251,,,,,197.0269232,,,,,,,,,4.924174725,227.6418503
0.016666667,9.052868357,3.71462266,24.88868603,911.627124,8.930460189,8.482195375,9.254282351,2.106628418,2.089004517,2.071151733,2.157058716,0.016666667,0.001666667,0,,8.88535216,224,,,20,70.25239069,0,8.762943992,,,236.2175217,8.314679178,9.086766154,,,,,,,2.577288726,181.9700193
0.033333333,9.051851115,3.612598068,24.87998779,911.6611755,8.930460189,8.482195375,9.254621432,2.106704712,2.089080811,2.071075439,2.15713501,0.033333333,0.003333333,0,,8.888911711,225,,,30,117.9354384,0,8.767520785,,,209.2431156,8.31925597,9.091682028,,,,,,,0.764542026,125.4548942
0.05,9.051851115,3.54952832,24.89738421,911.627124,8.93079927,8.482195375,9.254282351,2.106781006,2.088928223,2.071151733,2.157058716,0.05,0.005,0,,8.891803797,224,,,40,81.99576927,0,8.770751952,,,205.5296855,8.322148056,9.094235033,,,,,,,7.700596023,72.86500153
0.066666667,9.056598246,3.652480409,24.88433692,911.6782013,8.930121109,8.482195375,9.254282351,2.106704712,2.089157104,2.071228027,2.157058716,0.066666667,0.006666667,0,,8.891872235,224,,,50,141.2669606,0,8.765395098,,,296.4900119,8.317469364,9.089556341,,,,,,,62.84977893,213.7759984
0.083333333,9.052529277,3.593120646,24.90028359,911.6441498,8.930121109,8.482195375,9.261403048,2.10647583,2.089080811,2.071151733,2.157058716,0.083333333,0.008333333,0,,8.89052439,225,,,60,78.22329493,0,8.768116222,,,195.8490674,8.320190488,9.099398161,,,,,,,18.45542217,124.9513415
0.1,9.052190196,3.412258869,24.89593452,911.627124,8.93079927,8.482195375,9.261063967,2.106628418,2.088928223,2.071228027,2.157058716,0.1,0.01,0,,8.898328523,224,,,,,0,8.776937598,,,,8.328333702,9.107202295,,,,,,,,
0.116666667,9.052868357,3.642277949,24.90608233,911.6611755,8.93079927,8.482195375,9.261403048,2.106704712,2.088928223,2.071151733,2.156982422,0.116666667,0.011666667,0,,8.8886633,224,,,,,0,8.766594213,,,,8.317990317,9.097197991,,,,,,,,
0.133333333,9.04540858,3.522630928,24.90608233,911.6782013,8.930460189,8.482534455,9.260724886,2.10647583,2.088928223,2.071228027,2.157058716,0.133333333,0.013333333,0,,8.886597577,225,,,,,0,8.771649187,,,,8.323723453,9.101913884,,,,,,,,
0.15,9.04540858,3.665465357,24.89013573,911.7633301,8.927747543,8.486603425,9.254621432,2.106628418,2.088928223,2.071151733,2.156982422,0.15,0.015,0,,8.880113284,224,,,,,0,8.762452247,,,,8.321308129,9.089326136,,,,,,,,
