Latest: Time (min),Latest: Dissolved Oxygen (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: FlowV3 (V),Latest: FlowV4 (V),Latest: FlowV1 (V),Latest: FlowV2 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0,8.128701355,3.184740067,28.01770191,101.9436563,8.135822052,8.040540344,7.959839111,2.117919922,2.095718384,2.103652954,2.114486694,0,0,0,,,,,,10,19.00132537,,,,,347.8407093,,,,,,,266.7380047,195.3031722
0.016666667,8.13514389,3.200931549,28.006083,101.9419375,8.135822052,8.040540344,7.960517273,2.117919922,2.09564209,2.103805542,2.1144104,0.016666667,0.001666667,0,,7.997629756,224,,,20,26.68437551,0,7.998307918,,,207.4929702,7.90302621,7.823003139,,,,,235.4223784,187.083018
0.033333333,8.127684113,3.156093597,28.02205908,101.9470938,8.13514389,8.041218506,7.965264404,2.117919922,2.095718384,2.103729248,2.114562988,0.033333333,0.003333333,0,,7.99212687,225,,,30,8.496751428,0,7.999586648,,,217.0869302,7.905661264,7.829707162,,,,,187.54621,147.8005137
0.05,8.127345032,3.880973816,27.99736899,101.9436563,8.13514389,8.041557587,7.965603485,2.117996216,2.095718384,2.103729248,2.1144104,0.05,0.005,0,,7.960595273,224,,,40,79.53385297,0,7.968394132,,,231.9864693,7.874807828,7.798853726,,,,,108.4525484,126.7140845
0.066666667,8.129379517,3.266942978,27.98429826,101.9436563,8.135482971,8.035793213,7.971367859,2.117843628,2.095718384,2.103729248,2.1144104,0.066666667,0.006666667,0,,7.988986201,224,,,50,21.39794257,0,7.995089655,,,194.517867,7.895399897,7.830974543,,,,,155.8463787,235.3377713
0.083333333,8.129718597,3.554653168,28.01334479,101.9470938,8.139551941,8.035793213,7.971367859,2.117996216,2.095794678,2.103881836,2.114486694,0.083333333,0.008333333,0,,7.977024031,225,,,60,20.12233443,0,7.986857375,,,351.5536363,7.883098647,7.818673293,,,,,172.160899,248.4296675
0.1,8.128362274,3.849836349,28.006083,101.9419375,8.140230103,8.035115051,7.976793152,2.117996216,2.095718384,2.103881836,2.114639282,0.1,0.01,0,,7.962970761,224,,,,,0,7.974838589,,,,7.869723538,7.811401638,,,,,,
0.116666667,8.128701355,3.872255325,27.97848916,101.9488125,8.140230103,8.035793213,7.976793152,2.117919922,2.09564209,2.103729248,2.114562988,0.116666667,0.011666667,0,,7.962281704,224,,,,,0,7.973810452,,,,7.869373562,7.810373501,,,,,,
0.133333333,8.128701355,3.740232468,28.02205908,101.9488125,8.140908264,8.035793213,7.981879364,2.117996216,2.095718384,2.103805542,2.114562988,0.133333333,0.013333333,0,,7.968054789,225,,,,,0,7.980261698,,,,7.875146647,7.821232798,,,,,,
0.15,8.129379517,3.129938126,27.97122787,101.9470938,8.142264587,8.035454132,7.981879364,2.117996216,2.095794678,2.103729248,2.114639282,0.15,0.015,0,,7.99484892,224,,,,,0,8.007733991,,,,7.900923536,7.847348767,,,,,,
