Latest: Time (min),Latest: Dissolved Oxygen (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: DO4 (mg/L),Latest: FlowV1 (V),Latest: FlowV2 (V),Latest: FlowV3 (V),Latest: FlowV4 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0,7.760844818,14.63403653,30.21868142,102.0502188,7.776781616,7.786275879,2.78496564,2.117080688,2.094955444,0.865478516,2.087936401,0,0,0,,,,,,10,95.34185079,,,,,11.01652532,,,,,,,76.0061104,73.30880268
0.016666667,7.761862061,14.65444145,30.22599129,102.0450625,7.776442535,7.786275879,2.785982882,2.117233276,2.095031738,0.865478516,2.087860107,0.016666667,0.001666667,0,,7.150506506,224,,,20,177.5190231,0,7.16508698,,,44.31723514,7.174920324,2.174627327,,,,,58.81904494,31.41442771
0.033333333,7.760505738,14.63125404,30.22599129,102.0433438,7.777120697,7.786275879,2.786321963,2.117156982,2.094955444,0.865631104,2.08770752,0.033333333,0.003333333,0,,7.150117517,225,,,30,43.97147871,0,7.166732476,,,32.69229504,7.175887659,2.175933743,,,,,66.52984864,50.02172021
0.05,7.754063203,14.67391887,30.2289153,102.0450625,7.776442535,7.785936798,2.785982882,2.117156982,2.095184326,0.865859985,2.08770752,0.05,0.005,0,,7.141917168,224,,,40,159.2539957,0,7.164296501,,,63.64948657,7.173790764,2.173836848,,,,,42.70243293,92.64777608
0.066666667,7.750333314,14.67762886,30.23330138,102.041625,7.776781616,7.792040253,2.785643801,2.117080688,2.095108032,0.865707397,2.087936401,0.066666667,0.006666667,0,,7.138065634,224,,,50,118.9518116,0,7.164513936,,,43.75725389,7.179772573,2.173376121,,,,,89.94819986,75.47983333
0.083333333,7.745586183,14.65258646,30.23622547,102.0450625,7.779833343,7.791362091,2.785982882,2.117156982,2.095184326,0.865631104,2.087936401,0.083333333,0.008333333,0,,7.134385168,225,,,60,115.0671663,0,7.168632329,,,33.42736077,7.180161077,2.174781868,,,,,111.8445466,64.04229021
0.1,7.745586183,14.66835389,30.23037732,102.0399063,7.780172424,7.791362091,2.785643801,2.11730957,2.095108032,0.865707397,2.087936401,0.1,0.01,0,,7.133683335,224,,,,,0,7.168269576,,,,7.179459244,2.173740954,,,,,,
0.116666667,7.74016089,14.67206388,30.24061167,102.0605313,7.788310363,7.785936798,2.785643801,2.117080688,2.094955444,0.865402222,2.087936401,0.116666667,0.011666667,0,,7.12818051,224,,,,,0,7.176329984,,,,7.173956419,2.173663422,,,,,,
0.133333333,7.739482728,14.67484637,30.24353585,102.055375,7.788310363,7.78661496,2.78530472,2.117156982,2.094955444,0.864944458,2.08770752,0.133333333,0.013333333,0,,7.12740835,225,,,,,0,7.176235985,,,,7.174540582,2.173230342,,,,,,
0.15,7.74016089,14.68504883,30.23622547,102.0674063,7.793735656,7.786275879,2.785982882,2.117385864,2.094955444,0.865249634,2.087783813,0.15,0.015,0,,7.127605778,224,,,,,0,7.181180544,,,,7.173720767,2.17342777,,,,,,
