Latest: Time (min),Latest: Dissolved Oxygen (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: FlowV1 (V),Latest: FlowV2 (V),Latest: FlowV3 (V),Latest: FlowV4 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0,6.635419526,10.57438525,32.13624419,101.4211563,6.735448361,6.382804321,6.081700583,2.075195313,2.076339722,2.083969116,2.081604004,0,0,0,,,,,,10,90.14146448,,,,,37.68928365,,,,,,,0.629108784,10.65007583
0.016666667,6.635080445,10.58087773,31.02997902,101.4263125,6.734092038,6.387890533,6.078987936,2.075195313,2.076339722,2.084274292,2.081832886,0.016666667,0.001666667,0,,6.19791847,224,,,20,142.4533986,0,6.296930063,,,14.62265051,5.641825961,5.950728558,,,,,14.08554652,51.14572279
0.033333333,6.635080445,10.4881281,31.23840436,101.4280313,6.733074795,6.395689392,6.064407462,2.074890137,2.076034546,2.08404541,2.081604004,0.033333333,0.003333333,0,,6.202803688,225,,,30,129.3882188,0,6.300798039,,,15.52217427,5.632130705,5.963412635,,,,,98.23618777,84.80859151
0.05,6.635758606,10.56418279,30.82761828,101.422875,6.727649503,6.39467215,6.05932125,2.075042725,2.076187134,2.08404541,2.081680298,0.05,0.005,0,,6.198241112,224,,,40,148.8792029,0,6.290132009,,,21.58555875,5.621803756,5.957154656,,,,,92.48328462,19.43714429
0.066666667,6.635419526,10.53264792,30.81149606,101.4194375,6.727310422,6.400436523,6.058982169,2.075042725,2.07611084,2.08404541,2.081604004,0.066666667,0.006666667,0,,6.199124365,224,,,50,163.7478008,0,6.291015261,,,24.77569746,5.622687009,5.964141363,,,,,66.5319798,32.1573261
0.083333333,6.636097687,10.39723346,30.75434477,101.4245938,6.727310422,6.406879059,6.054574119,2.075042725,2.07611084,2.08404541,2.081680298,0.083333333,0.008333333,0,,6.205118182,225,,,60,150.5233548,0,6.296330917,,,19.46998278,5.623594614,5.975899554,,,,,73.71748514,19.46998279
0.1,6.636436768,10.29799136,31.32506492,101.4245938,6.726971341,6.406539978,6.049487907,2.074890137,2.07611084,2.083969116,2.081604004,0.1,0.01,0,,6.212422072,224,,,,,0,6.302956645,,,,5.625473211,5.982525282,,,,,,
0.116666667,6.630333314,10.30077384,31.41617165,101.4263125,6.734431119,6.409930786,6.049487907,2.074890137,2.076263428,2.083969116,2.081680298,0.116666667,0.011666667,0,,6.206648587,224,,,,,0,6.310746392,,,,5.62580318,5.986246059,,,,,,
0.133333333,6.636436768,10.38424851,30.97423779,101.4263125,6.733413876,6.414677917,6.048809745,2.075042725,2.07611084,2.084197998,2.081604004,0.133333333,0.013333333,0,,6.207117243,225,,,,,0,6.304094351,,,,5.61949022,5.985358392,,,,,,
0.15,6.629655152,10.44453577,30.80856487,101.4331875,6.734431119,6.415356079,6.042706291,2.074966431,2.07611084,2.08404541,2.081604004,0.15,0.015,0,,6.196994773,224,,,,,0,6.301770739,,,,5.610045912,5.9826957,,,,,,
