Latest: Time (min),Latest: Dissolved Oxygen 1 (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: Dissolved Oxygen 4 (mg/L),Latest: FlowV4 (V),Latest: FlowV3 (V),Latest: Potential (V),Latest: Potential 2 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0,6.406505385,16.78582793,25.66119599,101.6806875,6.797465545,6.529252625,6.420746765,2.100067139,2.065734863,2.034683228,2.100982666,0,0,0,,,,,,10,303.0877163,,,,,12.72942618,,,,,,,123.1578862,196.7411347
0.016666667,6.406844465,16.80623285,25.66554346,101.67725,6.803229918,6.529930786,6.420068604,2.100143433,2.065505981,2.034912109,2.10105896,0.016666667,0.001666667,0,,5.658689881,224,,,20,255.7972852,0,6.055075334,,,25.9167801,5.671914019,5.781776202,,,,,94.66609355,190.8077102
0.033333333,6.413965162,16.79603039,25.65684852,101.67725,6.802890837,6.529252625,6.425832977,2.100219727,2.065658569,2.034912109,2.100982666,0.033333333,0.003333333,0,,5.666158837,225,,,30,291.6964447,0,6.055084512,,,60.20462766,5.678026652,5.781446299,,,,,28.51549369,161.1801827
0.05,6.409557112,16.80994284,25.66844177,101.6720938,6.798143706,6.530269867,6.420746765,2.100067139,2.065811157,2.034835815,2.100982666,0.05,0.005,0,,5.661272692,224,,,40,356.0150729,0,6.049859287,,,9.215636091,5.672462346,5.781985447,,,,,15.12378046,48.791596
0.066666667,6.406166304,16.80252287,25.65539937,101.684125,6.797804625,6.529930786,6.421424927,2.100219727,2.065582275,2.034759521,2.100830078,0.066666667,0.006666667,0,,5.658053249,224,,,50,323.8383482,0,6.04969157,,,10.24032972,5.673311872,5.781817731,,,,,3.795082219,3.187269836
0.083333333,6.406844465,16.80252287,25.65829768,101.6806875,6.79136209,6.528913544,6.421764008,2.100219727,2.065734863,2.03453064,2.100906372,0.083333333,0.008333333,0,,5.658766742,225,,,60,339.5813686,0,6.043284367,,,19.74119659,5.673686284,5.78083582,,,,,36.11761907,22.69001896
0.1,6.406505385,16.80437786,25.65684852,101.684125,6.798143706,6.528235382,6.420068604,2.099990845,2.065582275,2.034835815,2.100982666,0.1,0.01,0,,5.658327407,224,,,70,309.9684855,0,6.049965728,,,6.922864906,5.671890626,5.780057404,,,,,59.14092726,71.3753457
0.116666667,6.405827223,16.80530535,25.66554346,101.6806875,6.797465545,6.522810089,6.421424927,2.100067139,2.065658569,2.034759521,2.100982666,0.116666667,0.011666667,0,,5.657713928,224,,,,,0,6.049352249,,,,5.673311632,5.774696794,,,,,,
0.133333333,6.413626081,16.79232041,25.66119599,101.691,6.798143706,6.52314917,6.422103088,2.100296021,2.065811157,2.034912109,2.100982666,0.133333333,0.013333333,0,,5.666037891,225,,,,,0,6.050555516,,,,5.674514898,5.77556098,,,,,,
0.15,6.413965162,16.81736281,25.66699261,101.67725,6.797804625,6.523488251,6.420407684,2.100143433,2.065734863,2.034988403,2.100982666,0.15,0.015,0,,5.66533278,224,,,,,0,6.049172244,,,,5.671775302,5.774855869,,,,,,
