Latest: Time (min),Latest: Dissolved Oxygen 1 (mg/L),Latest: Salinity (ppt),Latest: Temperature (°C),Latest: Pressure (kPa),Latest: Dissolved Oxygen 2 (mg/L),Latest: Dissolved Oxygen 3 (mg/L),Latest: Dissolved Oxygen 4(mg/L),Latest: FlowV3 (V),Latest: FlowV4 (V),Latest: Potential (V),Latest: Potential 2 (V),Latest: Time-run (min),Latest: Sawtooth,Latest: PWM(Circ=1 Flush=0),Latest: Flag,Latest: DO1cor (mg/L),Latest: NoSlopeSamples,Latest: DO1slope ((mg/L)/min),Latest: VO2-1 (mg/kg/h),Latest: collapse(Time) (min),Latest: collapse(VO2-1) (mg/kg/h),Latest: NoRestSamples,Latest: DO2cor (mg/L),Latest: DO2slope ((mg/L)/min),Latest: VO2-2 (mg/kg/h),Latest: collapse(VO2-2) (mg/kg/h),Latest: DO3cor (mg/L),Latest: DO4cor (mg/L),Latest: DO3slope ((mg/L)/min),Latest: DO4slope ((mg/L)min),Latest: VO2-3 (mg/kg/h),Latest: VO2-4 (mg/kg/h),Latest: collapse(VO2-3) (mg/kg/h),Latest: collapse(VO2-4) (mg/kg/h)
0,6.781189666,17.18186885,25.83364433,101.7649063,6.856804684,6.780511505,7.001592194,2.065124512,2.084503174,2.03414917,2.100906372,0,0,0,,,,,,10,178.5556352,,,,,339.1497263,,,,,,,14.73892059,141.4954655
0.016666667,6.776781616,17.17630387,25.81625462,101.766625,6.852396634,6.778816101,7.002270355,2.065048218,2.08442688,2.034301758,2.100830078,0.016666667,0.001666667,0,,6.014019073,224,,,20,202.3563463,0,6.089634091,,,394.6395725,6.239507812,6.016053558,,,,,6.577103655,192.1513778
0.033333333,6.776442535,17.17723137,25.82350033,101.7580313,6.847310422,6.779155182,7.001931274,2.064971924,2.08442688,2.033996582,2.100753784,0.033333333,0.003333333,0,,6.013728004,225,,,30,113.959223,0,6.084595891,,,415.274558,6.239216744,6.016440651,,,,,10.11179761,160.1501716
0.05,6.775086212,17.17630387,25.83509347,101.7580313,6.847310422,6.780172424,7.001592194,2.065124512,2.084503174,2.034072876,2.100982666,0.05,0.005,0,,6.012555476,224,,,40,168.4469226,0,6.084779686,,,402.0871556,6.239061458,6.017641689,,,,,9.334496309,105.6057605
0.066666667,6.777459778,17.13642153,25.84378833,101.75975,6.841885129,6.780511505,7.007695648,2.064971924,2.084579468,2.033996582,2.100830078,0.066666667,0.006666667,0,,6.016806222,224,,,50,127.0210695,0,6.081231573,,,370.8662782,6.247042092,6.019857949,,,,,8.329134737,109.2966421
0.083333333,6.785258636,17.14569649,25.8495849,101.7631875,6.835781675,6.775425293,7.007017487,2.064971924,2.084350586,2.034225464,2.100830078,0.083333333,0.008333333,0,,6.024264468,225,,,60,180.5774508,0,6.074787507,,,437.3131551,6.246023319,6.014431125,,,,,51.6724967,152.6480494
0.1,6.784241394,17.13178405,25.86987292,101.7649063,6.834764432,6.774747131,7.006678406,2.064971924,2.084350586,2.033920288,2.100753784,0.1,0.01,0,,6.024113072,224,,,,,0,6.074636111,,,,6.246550084,6.01461881,,,,,,
0.116666667,6.790683929,17.13456654,25.86697463,101.7631875,6.830356382,6.775425293,7.002270355,2.065124512,2.084579468,2.034072876,2.100906372,0.116666667,0.011666667,0,,6.030396687,224,,,,,0,6.070069141,,,,6.241983114,6.015138052,,,,,,
0.133333333,6.789327605,17.14291401,25.84813576,101.7580313,6.830356382,6.769660919,7.001592194,2.065048218,2.08442688,2.034225464,2.100830078,0.133333333,0.013333333,0,,6.02843917,225,,,,,0,6.069467946,,,,6.240703758,6.008772484,,,,,,
0.15,6.793735656,17.18001386,25.82350033,101.7614688,6.824931089,6.763218384,6.995488739,2.065048218,2.084350586,2.034072876,2.100753784,0.15,0.015,0,,6.030897575,224,,,,,0,6.062093008,,,,6.232650658,6.000380303,,,,,,
0.166666667,6.801873595,17.13734903,25.84523747,101.75975,6.825609251,6.763218384,6.996166901,2.065124512,2.084503174,2.03414917,2.100830078,0.166666667,0.016666667,0,,6.041196635,224,,,,,0,6.064932291,,,,6.235489941,6.002541424,,,,,,
0.183333333,6.807298888,17.13456654,25.84378833,101.7580313,6.818827635,6.762879303,6.992776093,2.064971924,2.084350586,2.033996582,2.100982666,0.183333333,0.018333333,0,,6.046727672,225,,,,,0,6.058256419,,,,6.232204876,6.002308087,,,,,,
0.2,6.805942565,17.14847898,25.88291522,101.7649063,6.818488554,6.757114929,6.988368042,2.064971924,2.08442688,2.034225464,2.100753784,0.2,0.02,0,,6.045233111,224,,,,,0,6.057779101,,,,6.227658588,5.996405476,,,,,,
0.216666667,6.813063261,17.13734903,25.84668661,101.7580313,6.818827635,6.740160889,6.988707123,2.064971924,2.084350586,2.034072876,2.100830078,0.216666667,0.021666667,0,,6.052404065,224,,,,,0,6.058168439,,,,6.228047927,5.979501693,,,,,,
0.233333333,6.810689696,17.18372384,25.8394409,101.7545938,6.813402342,6.733718353,6.984638153,2.064971924,2.084579468,2.034225464,2.100830078,0.233333333,0.023333333,0,,6.047883026,225,,,,,0,6.050595672,,,,6.221831483,5.970911684,,,,,,
0.25,6.814080504,17.16702891,25.86117805,101.75975,6.813063261,6.733379272,6.984638153,2.065048218,2.084503174,2.034301758,2.100753784,0.25,0.025,0,,6.052281775,224,,,,,0,6.051264533,,,,6.222839424,5.971580544,,,,,,
0.266666667,6.81679315,17.14291401,25.8292969,101.7580313,6.813402342,6.727953979,6.985655396,2.065048218,2.084579468,2.033843994,2.100753784,0.266666667,0.026666667,0,,6.055673584,224,,,,,0,6.052282776,,,,6.224535829,5.966834413,,,,,,
0.283333333,6.814080504,17.18279635,25.82639862,101.7580313,6.813402342,6.728632141,6.979891022,2.065048218,2.084503174,2.03414917,2.100830078,0.283333333,0.028333333,0,,6.051154551,225,,,,,0,6.05047639,,,,6.216965069,5.965706189,,,,,,
0.3,6.814080504,17.16517392,25.86407634,101.7545938,6.817471312,6.721511444,6.985655396,2.065048218,2.084579468,2.03414917,2.100830078,0.3,0.03,0,,6.052399632,224,,,,,0,6.05579044,,,,6.223974524,5.959830573,,,,,,
0.316666667,6.813402342,17.18836132,25.84813576,101.7614688,6.813063261,6.721172363,6.985655396,2.065200806,2.084579468,2.033996582,2.100753784,0.316666667,0.031666667,0,,6.050496727,224,,,,,0,6.050157646,,,,6.22274978,5.958266748,,,,,,
0.333333333,6.814758665,17.18465134,25.85393233,101.75975,6.8123851,6.721172363,6.985994476,2.065048218,2.084350586,2.034072876,2.100830078,0.333333333,0.033333333,0,,6.052088942,225,,,,,0,6.049715376,,,,6.223324753,5.95850264,,,,,,
0.35,6.817471312,17.1438415,25.85683062,101.7614688,6.812724181,6.721172363,6.985655396,2.065048218,2.084579468,2.034225464,2.100830078,0.35,0.035,0,,6.05664828,224,,,,,0,6.051901149,,,,6.224832364,5.960349332,,,,,,
