"","sonde","site","DateTime","temp_C","turbidity_FNU","ODO_mgL","pH","salinity"
"1","01304562","Flanders",2022-07-29 05:00:00,27.4,4.1,3,7.7,27.5
"2","01304562","Flanders",2022-07-29 05:06:00,27.4,4.4,3.1,7.7,27.5
"3","01304562","Flanders",2022-07-29 05:12:00,27.4,4,3.4,7.7,27.5
"4","01304562","Flanders",2022-07-29 05:18:00,27.4,3.9,3.5,7.7,27.5
"5","01304562","Flanders",2022-07-29 05:24:00,27.4,4.4,3.2,7.7,27.5
"6","01304562","Flanders",2022-07-29 05:30:00,27.4,4,3.1,7.7,27.5
"7","01304562","Flanders",2022-07-29 05:36:00,27.4,3.7,3.2,7.7,27.5
"8","01304562","Flanders",2022-07-29 05:42:00,27.4,4.1,2.9,7.7,27.5
"9","01304562","Flanders",2022-07-29 05:48:00,27.4,4.3,2.9,7.7,27.5
"10","01304562","Flanders",2022-07-29 05:54:00,27.4,3.8,3,7.6,27.5
"11","01304562","Flanders",2022-07-29 06:00:00,27.4,3.7,3,7.6,27.4
"12","01304562","Flanders",2022-07-29 06:06:00,27.4,3.6,2.9,7.6,27.4
"13","01304562","Flanders",2022-07-29 06:12:00,27.4,3.5,2.8,7.6,27.4
"14","01304562","Flanders",2022-07-29 06:18:00,27.4,3.6,2.8,7.6,27.4
"15","01304562","Flanders",2022-07-29 06:24:00,27.4,3.5,2.9,7.6,27.4
"16","01304562","Flanders",2022-07-29 06:30:00,27.4,3.4,2.8,7.6,27.4
"17","01304562","Flanders",2022-07-29 06:36:00,27.4,3.3,2.6,7.6,27.4
"18","01304562","Flanders",2022-07-29 06:42:00,27.4,4.3,2.6,7.6,27.4
"19","01304562","Flanders",2022-07-29 06:48:00,27.4,4.1,2.4,7.6,27.4
"20","01304562","Flanders",2022-07-29 06:54:00,27.4,4.4,2.3,7.6,27.4
"21","01304562","Flanders",2022-07-29 07:00:00,27.3,4,2.2,7.6,27.4
"22","01304562","Flanders",2022-07-29 07:06:00,27.3,3.6,2.2,7.6,27.4
"23","01304562","Flanders",2022-07-29 07:12:00,27.3,3.5,2.2,7.6,27.4
"24","01304562","Flanders",2022-07-29 07:18:00,27.3,3.1,2.3,7.6,27.4
"25","01304562","Flanders",2022-07-29 07:24:00,27.4,3.7,2.4,7.6,27.4
"26","01304562","Flanders",2022-07-29 07:30:00,27.4,3.5,2.5,7.6,27.4
"27","01304562","Flanders",2022-07-29 07:36:00,27.4,3.3,2.4,7.6,27.4
"28","01304562","Flanders",2022-07-29 07:42:00,27.4,3.4,2.5,7.6,27.4
"29","01304562","Flanders",2022-07-29 07:48:00,27.4,3.3,2.4,7.6,27.4
"30","01304562","Flanders",2022-07-29 07:54:00,27.3,3,2,7.5,27.4
"31","01304562","Flanders",2022-07-29 08:00:00,27.3,3,2,7.5,27.4
"32","01304562","Flanders",2022-07-29 08:06:00,27.3,3.3,2,7.5,27.4
"33","01304562","Flanders",2022-07-29 08:12:00,27.3,2.9,2.2,7.5,27.4
"34","01304562","Flanders",2022-07-29 08:18:00,27.3,3.1,2.2,7.5,27.4
"35","01304562","Flanders",2022-07-29 08:24:00,27.3,3,2,7.5,27.4
"36","01304562","Flanders",2022-07-29 08:30:00,27.3,3.3,1.8,7.5,27.4
"37","01304562","Flanders",2022-07-29 08:36:00,27.3,3.2,1.5,7.5,27.4
"38","01304562","Flanders",2022-07-29 08:42:00,27.3,4,1.7,7.5,27.4
"39","01304562","Flanders",2022-07-29 08:48:00,27.3,3.3,1.9,7.5,27.4
"40","01304562","Flanders",2022-07-29 08:54:00,27.3,3,1.5,7.5,27.4
